0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:51 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/principal.jsp HTTP/1.1" 200 4159
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/css/estilos.css HTTP/1.1" 200 5040
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/imagens/banner1.jpg HTTP/1.1" 200 64734
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/imagens/banner2.jpg HTTP/1.1" 200 3216062
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/imagens/banner3.jpg HTTP/1.1" 200 3230678
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/icone/java.png HTTP/1.1" 200 7331
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/icone/css.png HTTP/1.1" 200 16357
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/icone/after.png HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/icone/photoshop.png HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /favicon.ico HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/principal.jsp HTTP/1.1" 200 4159
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/css/estilos.css HTTP/1.1" 200 5040
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/imagens/banner1.jpg HTTP/1.1" 200 64734
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/imagens/banner2.jpg HTTP/1.1" 200 3216062
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/imagens/banner3.jpg HTTP/1.1" 200 3230678
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/icone/java.png HTTP/1.1" 200 7331
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/icone/css.png HTTP/1.1" 200 16357
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/icone/after.png HTTP/1.1" 200 3714
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/icone/photoshop.png HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/principal.jsp HTTP/1.1" 200 4159
0:0:0:0:0:0:0:1 - - [11/Jul/2019:00:43:52 -0300] "GET /Sistema_Escolar_Gustavo/css/bootstrap.min.css HTTP/1.1" 200 155758
